rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,date,country,source
40,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,Polo G,Martin & Gina,23,36,30,2786671,2021-02-25,US,Columbia
41,spotify:track:3w1WjD2zJqjBjDz5fwqQPJ,Jack Harlow,Tyler Herro,9,44,18,2785197,2021-02-25,US,Generation Now/Atlantic
42,spotify:track:0uRrG2jRR5tuifsYIJHEao,Morgan Wallen,Sand In My Boots,13,32,7,2742647,2021-02-25,US,Big Loud / Republic
43,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,1,35,147,2704793,2021-02-25,US,Juice WRLD Mixtape / ISR P&D
44,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,"Juice WRLD, Marshmello",Come & Go (with Marshmello),1,40,33,2700462,2021-02-25,US,Grade A Productions/Interscope Records
45,spotify:track:2r6OAV3WsYtXuXjvJ1lIDi,"Pop Smoke, A Boogie Wit da Hoodie",Hello (feat. A Boogie Wit da Hoodie),31,58,25,2694567,2021-02-25,US,Victor Victor Worldwide
46,spotify:track:0ZLuW8uOXdFNWcI40C0OC2,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",2,49,36,2635505,2021-02-25,US,Generation Now/Atlantic
47,spotify:track:59fFsGRwFiuhxKDPc1k6xW,"YBN Nahmir, 21 Savage",Opp Stoppa (feat. 21 Savage),47,70,5,2599877,2021-02-25,US,Art@War/Atlantic Records
48,spotify:track:22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,Blueberry Faygo,2,48,55,2575594,2021-02-25,US,Mogul Vision/Interscope Records
49,spotify:track:0A1hoCfMLkiAgvhWkkucJa,Megan Thee Stallion,Body,13,46,14,2565596,2021-02-25,US,300 Entertainment
50,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,Bang!,50,56,25,2563460,2021-02-25,US,BMG Rights Management (US) LLC
51,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,Robbery,3,43,106,2515273,2021-02-25,US,Grade A Productions/Interscope Records
52,spotify:track:3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,Love Story (Taylor’s Version),3,3,2,2513165,2021-02-25,US,Taylor Swift
53,spotify:track:0awuNCj9gwJEM0seER22DW,Clinton Kane,CHICKEN TENDIES,53,-1,1,2482779,2021-02-25,US,Columbia
54,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,53,123,2481928,2021-02-25,US,Republic Records
55,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,1,54,78,2460832,2021-02-25,US,Republic Records
56,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D,Taylor Swift,willow,1,33,11,2433530,2021-02-25,US,Taylor Swift
57,spotify:track:4aarlAfLKVCTxUDNgbwhjH,"Megan Thee Stallion, DaBaby",Cry Baby (feat. DaBaby),36,52,12,2425732,2021-02-25,US,300 Entertainment
58,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,9,51,34,2418710,2021-02-25,US,Republic Records
59,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,18,90,13,2413474,2021-02-25,US,Rimas Entertainment LLC
60,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,1,57,64,2409519,2021-02-25,US,Atlantic Records
61,spotify:track:43CIWpJaJHRcI4mUSjqgc2,"Juice WRLD, Young Thug",Bad Boy (with Young Thug),3,50,6,2406537,2021-02-25,US,Grade A Productions/Interscope Records
62,spotify:track:42lqBjPYlmL1EXpMDXvhSN,Morgan Wallen,Somebody’s Problem,4,41,14,2397102,2021-02-25,US,Big Loud / Republic
63,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,6,55,96,2368944,2021-02-25,US,Vertigo Berlin
64,spotify:track:2sQH02O2HBCPJCztBrCWNa,"Ariana Grande, Doja Cat, Megan Thee Stallion","34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",4,78,6,2296609,2021-02-25,US,Republic Records
65,spotify:track:5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,59,59,24,2262216,2021-02-25,US,Columbia
66,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,27,45,18,2218737,2021-02-25,US,Universal Republic Records
67,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,65,65,159,2182232,2021-02-25,US,Roc Nation Records LLC
68,spotify:track:1xqRKo0SDFDO5Jy8yEVD0X,DUSTY LOCANE,ROLLIN N CONTROLLIN FREESTYLE,68,97,2,2172521,2021-02-25,US,95MM / EMPIRE
69,spotify:track:2kS6td1yvmpNgZTt1q5pQq,Mother Mother,Hayloft,64,75,9,2096329,2021-02-25,US,Last Gang
70,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,81,67,2095827,2021-02-25,US,Columbia
71,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,6,72,25,2094611,2021-02-25,US,Rhino/Warner Records
72,spotify:track:6zFMeegAMYQo0mt8rXtrli,Lil Nas X,HOLIDAY,14,60,15,2092968,2021-02-25,US,Columbia
73,spotify:track:1K5KBOgreBi5fkEHvg5ap3,"Future, Drake",Life Is Good (feat. Drake),2,74,59,2076927,2021-02-25,US,Epic/Freebandz
74,spotify:track:4obHzpwGrjoTuZh2DItEMZ,Morgan Wallen,7 Summers,3,62,28,2063792,2021-02-25,US,Big Loud / Republic
75,spotify:track:5OELUCYgOHKFAvCERnAvfS,Morgan Wallen,More Than My Hometown,21,64,44,2062208,2021-02-25,US,Big Loud / Republic
76,spotify:track:0k7wmahjkn389wAZdz19Cv,"Future, Lil Uzi Vert",Drankin N Smokin,12,80,15,2058590,2021-02-25,US,Generation Now/Atlantic
77,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,77,114,6,2052739,2021-02-25,US,Atlantic Records
78,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,8,67,217,2046273,2021-02-25,US,Cactus Jack / Epic
79,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,3,61,183,2040870,2021-02-25,US,Bad Vibes Forever / EMPIRE
80,spotify:track:5u1n1kITHCxxp8twBcZxWy,"Justin Bieber, Chance the Rapper",Holy (feat. Chance The Rapper),3,66,23,2035448,2021-02-25,US,RBMG/Def Jam
81,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,4,84,27,2034219,2021-02-25,US,BIGHIT MUSIC
82,spotify:track:3FxPbp05KjMBa4HbhAJTH0,ElyOtto,SugarCrash!,82,-1,1,2030829,2021-02-25,US,Otto Dynamite/RCA Records
83,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,29,73,127,2013486,2021-02-25,US,88rising Music/Warner Records
84,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,42,68,66,2010696,2021-02-25,US,Vertigo Berlin
85,spotify:track:6foY66mWZN0pSRjZ408c00,Morgan Wallen,Whiskey Glasses,59,77,96,2010488,2021-02-25,US,Big Loud Records
86,spotify:track:5VlTQnZO89Ioku8ssdbqJk,Brent Faiyaz,Dead Man Walking,71,71,12,2009367,2021-02-25,US,Lost Kids
87,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,Electric Love,44,92,35,1975080,2021-02-25,US,UMGRI Interscope
88,spotify:track:5SWnsxjhdcEDc7LJjq9UHk,"21 Savage, Metro Boomin",Runnin,3,82,21,1973524,2021-02-25,US,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic"
89,spotify:track:7eJMfftS33KTjuF7lTsMCx,"Powfu, beabadoobee",death bed (coffee for your head),9,76,54,1967634,2021-02-25,US,Columbia
90,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,Dior,18,106,50,1942692,2021-02-25,US,Victor Victor Worldwide/Republic Records
91,spotify:track:0D75ciM842cdUMKSMfAR9y,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),41,89,4,1929659,2021-02-25,US,Selena Gomez Latin Project
92,spotify:track:0mKnuxVkPi5h0kuvZl44VM,Morgan Wallen,Cover Me Up,30,79,20,1925084,2021-02-25,US,Big Loud / Republic
93,spotify:track:7o4gBbTM6UBLkOYPw9xMCz,"DDG, Blueface",Moonwalking in Calabasas (feat. Blueface) - Remix,40,83,20,1925020,2021-02-25,US,Epic
94,spotify:track:2Oycxb8QbPkpHTo8ZrmG0B,"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),16,69,14,1921184,2021-02-25,US,RCA Records Label
95,spotify:track:1xK1Gg9SxG8fy2Ya373oqb,"Myke Towers, Juhn",Bandido,95,115,4,1916133,2021-02-25,US,White World Music
96,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,3,87,64,1885723,2021-02-25,US,Columbia
97,spotify:track:6AGOKlMZWLCaEJGnaROtF9,Ritt Momney,Put Your Records On,16,113,24,1879025,2021-02-25,US,Columbia
98,spotify:track:2mt1IqcFyY1zmYZT8Q3xw9,blackbear,hot girl bummer,4,102,79,1869085,2021-02-25,US,Alamo
99,spotify:track:0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min,94,94,55,1855455,2021-02-25,US,Generation Now/Atlantic
100,spotify:track:1J14CdDAvBTE1AJYUOwl6C,Duncan Laurence,Arcade,100,143,2,1845551,2021-02-25,US,"Universal Music, a division of Universal International Music BV"
1,spotify:track:5dXWFMwD7I7zXsInONVl0H,SZA,I Hate U,1,-1,1,9091658,2021-12-09,US,Top Dawg Entertainment/RCA Records
2,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,1,7,34,7258800,2021-12-09,US,MCA Nashville
3,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),1,3,20,7056347,2021-12-09,US,Columbia
4,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,Jingle Bell Rock,3,9,33,6934316,2021-12-09,US,Geffen
5,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,1,6,39,6927290,2021-12-09,US,Columbia
6,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,1,1,8,6553792,2021-12-09,US,Columbia
7,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,4,5,54,6534040,2021-12-09,US,Polydor Records
8,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,4,22,6397550,2021-12-09,US,Columbia
9,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,9,11,4,6074599,2021-12-09,US,Atlantic/Arthouse Records
10,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year,4,12,31,6050025,2021-12-09,US,Columbia
11,spotify:track:4so0Wek9Ig1p6CRCHuINwW,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version,8,8,26,5972645,2021-12-09,US,Geffen
12,spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),1,2,4,5968366,2021-12-09,US,Taylor Swift
13,spotify:track:5J6rTmMjF9DVIAF8G3M9n4,"Juice WRLD, Justin Bieber",Wandered To LA (with Justin Bieber),13,-1,1,5210088,2021-12-09,US,Grade A Productions/Interscope Records
14,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,1,16,30,5074097,2021-12-09,US,Olivia Rodrigo PS
15,spotify:track:0lLdorYw7lVrJydTINhWdI,Michael Bublé,It's Beginning to Look a Lot like Christmas,7,19,30,4875863,2021-12-09,US,143/Reprise
16,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),2,13,14,4783339,2021-12-09,US,OVO
17,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,4,15,26,4755327,2021-12-09,US,Kemosabe Records/RCA Records
18,spotify:track:77khP2fIVhSW23NwxrRluh,Burl Ives,A Holly Jolly Christmas,10,35,26,4751591,2021-12-09,US,Geffen
19,spotify:track:2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas,5,23,32,4712680,2021-12-09,US,Epic
20,spotify:track:7sMBvZCSUl99bJLXZaLa0b,"Bruno Mars, Anderson .Paak, Silk Sonic",Smokin Out The Window,2,10,5,4568881,2021-12-09,US,Aftermath Entertainment/Atlantic
21,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),1,22,35,4511109,2021-12-09,US,Kemosabe Records/RCA Records
22,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,Nat King Cole,The Christmas Song (Merry Christmas To You),12,18,26,4458337,2021-12-09,US,CAPITOL CATALOG MKT (C92)
23,spotify:track:3qCeq0rWK67SoBDgFd2sId,José Feliciano,Feliz Navidad,11,26,23,4418997,2021-12-09,US,RCA/BMG Heritage
24,spotify:track:7fUYUcWy853HS8YJn0b3Sr,The Ronettes,Sleigh Ride,14,29,19,4305171,2021-12-09,US,Legacy Recordings
25,spotify:track:4kKdvXD0ez7jp1296JmAts,"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),9,30,27,4204341,2021-12-09,US,Columbia/Legacy
26,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),8,20,15,4128062,2021-12-09,US,Columbia
27,spotify:track:1r9xUipOqoNwggBpENDsvJ,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,24,24,6,4097939,2021-12-09,US,KIDinaKORNER/Interscope Records
28,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me,5,34,30,4073648,2021-12-09,US,Universal Records
29,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),1,17,14,4037749,2021-12-09,US,OVO
30,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,Kodak Black,Super Gremlin,30,159,2,3979309,2021-12-09,US,Atlantic/Sniper Gang
31,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,12,32,24,3734675,2021-12-09,US,Kemosabe Records/RCA Records
32,spotify:track:2pXpURmn6zC5ZYDMms6fwa,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),31,43,23,3707109,2021-12-09,US,RCA Records Label
33,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,23,33,18,3694015,2021-12-09,US,Three Quarter
34,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,1,49,35,3600008,2021-12-09,US,Columbia
35,spotify:track:6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),6,21,8,3595958,2021-12-09,US,Capitol Records UK / EMI
36,spotify:track:07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,10,25,16,3595534,2021-12-09,US,"MSFTSMusic / Roc Nation Records, LLC"
37,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,8,28,13,3579347,2021-12-09,US,Atlantic Records UK
38,spotify:track:7rglLriMNBPAyuJOMGwi39,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,21,27,16,3542474,2021-12-09,US,EMI
39,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,3,42,29,3527066,2021-12-09,US,Olivia Rodrigo PS
40,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),1,40,37,3521442,2021-12-09,US,Columbia
41,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,3,37,19,3456855,2021-12-09,US,Darkroom/Interscope Records
42,spotify:track:3nAp4IvdMPPWEH9uuXFFV5,Kelly Clarkson,Underneath the Tree,8,50,20,3425870,2021-12-09,US,RCA Records Label
43,spotify:track:3Kkjo3cT83cw09VJyrLNwX,Adele,Oh My God,3,14,3,3398256,2021-12-09,US,Columbia
44,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,19,46,68,3361343,2021-12-09,US,Columbia
45,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,1,66,48,3340176,2021-12-09,US,Olivia Rodrigo PS
46,spotify:track:47ohYW8e7dxCYn9qbUMBCI,Darlene Love,Christmas (Baby Please Come Home),28,52,11,3335599,2021-12-09,US,Legacy Recordings
47,spotify:track:1SV1fxF65n9NhRHp3KlBuu,Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011,17,57,22,3300489,2021-12-09,US,Paul McCartney Catalog
48,spotify:track:62l3NSQPUxvcwwzKUmysrE,Polo G,Bad Man (Smooth Criminal),23,55,4,3244324,2021-12-09,US,Columbia
49,spotify:track:29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,Sky,35,41,16,3215184,2021-12-09,US,AWGE/Interscope Records
50,spotify:track:6tjituizSxwSmBB5vtgHZE,Michael Bublé,Holly Jolly Christmas,16,60,22,3156519,2021-12-09,US,143/Reprise
51,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,45,51,9,3132051,2021-12-09,US,Warner Records
52,spotify:track:7xapw9Oy21WpfEcib2ErSA,Justin Bieber,Mistletoe,15,53,28,3126015,2021-12-09,US,RBMG/Def Jam
53,spotify:track:3QiAAp20rPC3dcAtKtMaqQ,Elvis Presley,Blue Christmas,30,61,22,3092107,2021-12-09,US,RCA Victor
54,spotify:track:2pnPe4pJtq7689i5ydzvJJ,Chuck Berry,Run Rudolph Run,27,69,22,3070360,2021-12-09,US,Geffen*
55,spotify:track:00Blm7zeNqgYLPtW6zg8cj,"Post Malone, The Weeknd",One Right Now (with The Weeknd),1,31,5,3059275,2021-12-09,US,Republic Records
56,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),4,64,62,3042957,2021-12-09,US,Warner Records
57,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,2,80,36,3041350,2021-12-09,US,Olivia Rodrigo PS
58,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,7,44,24,3024534,2021-12-09,US,Atlantic Records UK
59,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,8,45,25,3001489,2021-12-09,US,Winners Circle/RCA Records
60,spotify:track:7ACW7VpgoKmfM1sKo15UhX,"Nardo Wick, G Herbo, Lil Durk, 21 Savage","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",23,47,9,2968683,2021-12-09,US,Flawless Ent./RCA Records
61,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,13,70,19,2962247,2021-12-09,US,Capitol Records
62,spotify:track:1foCxQtxBweJtZmdxhEHVO,"Eartha Kitt, Henri René and His Orchestra",Santa Baby (with Henri René & His Orchestra),53,72,21,2946868,2021-12-09,US,RCA Bluebird
63,spotify:track:6a1hzBiTkgqTsDA0Xgfh9z,The Jackson 5,Santa Claus Is Coming To Town,32,75,12,2933939,2021-12-09,US,UNI/MOTOWN
64,spotify:track:27RYrbL6S02LNVhDWVl38b,"John Lennon, Yoko Ono",Happy Xmas (War Is Over) - Remastered 2010,32,81,21,2931833,2021-12-09,US,EMI Catalogue
65,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,1,95,50,2926566,2021-12-09,US,Top Dawg Entertainment/RCA Records
66,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,4,58,24,2859507,2021-12-09,US,Kemosabe Records/RCA Records
67,spotify:track:0247StOpd3AkeBQzANX4Zf,Band Aid,Do They Know It's Christmas? - 1984 Version,19,84,23,2826183,2021-12-09,US,EMI
68,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),18,67,24,2795950,2021-12-09,US,Kemosabe Records/RCA Records
69,spotify:track:4tHqQMWSqmL6YjXwsqthDI,"Mykola Dmytrovych Leontovych, John Williams",Carol of the Bells,44,83,22,2764831,2021-12-09,US,Masterworks
70,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,43,73,200,2760581,2021-12-09,US,Roc Nation Records LLC
71,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),2,85,40,2718708,2021-12-09,US,OVO
72,spotify:track:6UjeFOCGYgMpBUtqKg1Je3,Vundabar,Alien Blues,72,167,2,2706456,2021-12-09,US,"Gawk Records, under exclusive license to Amuseio AB"
73,spotify:track:3NqBxTOMCJ3zW9CIP51td4,"Eslabon Armado, DannyLux",Jugaste y Sufrí,23,63,16,2678922,2021-12-09,US,DEL Records
74,spotify:track:299lFlaAsNQdgbIZNPmIA0,Vince Guaraldi Trio,Christmas Time Is Here,39,118,14,2670980,2021-12-09,US,Fantasy Records
75,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,20,62,20,2639546,2021-12-09,US,Sony Music Latin
76,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,Kanye West,Praise God,7,59,15,2638173,2021-12-09,US,Rock The World/IDJ/Kanye LP7
77,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,4,48,12,2635343,2021-12-09,US,Columbia
78,spotify:track:1LPSkqVhWVRUkKE03YUkpB,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,4,65,40,2615791,2021-12-09,US,Aftermath Entertainment/Atlantic
79,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,9,164,75,2575856,2021-12-09,US,Republic Records
80,spotify:track:7qM1BWAsZMTYh4BcYLb0uQ,Juice WRLD,Already Dead,7,36,4,2573475,2021-12-09,US,Grade A Productions/Interscope Records
81,spotify:track:1Wf14bTyb6UeKojy8ykPYm,Andy Williams,Happy Holiday / The Holiday Season,81,92,2,2573095,2021-12-09,US,Columbia
82,spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),3,74,14,2567583,2021-12-09,US,OVO
83,spotify:track:2QIBJFl8DJR1mDh9GwfZef,"Polo G, Lil Baby",Don’t Play (with Lil Baby),83,-1,1,2554329,2021-12-09,US,Columbia
84,spotify:track:1GQ3cCJMAhLqWARyVZWxnO,"Bing Crosby, The Andrews Sisters",Mele Kalikimaka - Single Version,84,97,9,2551254,2021-12-09,US,Geffen
85,spotify:track:2AaJeBEq3WLcfFW1y8svDf,Rod Wave,By Your Side,76,76,2,2544397,2021-12-09,US,Alamo
86,spotify:track:5xlS0QkVrSH7ssEbBgBzbM,The Beach Boys,Little Saint Nick - 1991 Remix,63,133,13,2524035,2021-12-09,US,Capitol Records
87,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,91,106,2492853,2021-12-09,US,Republic Records
88,spotify:track:4MrfQL4TYQXJBlZYpAHTuE,Dean Martin,"Baby, It's Cold Outside",47,98,16,2478535,2021-12-09,US,Capitol Records
89,spotify:track:030mot3ZKR3oskfMsqDB2R,Judy Garland,Have Yourself A Merry Little Christmas,58,190,18,2444553,2021-12-09,US,Geffen
90,spotify:track:3PIDciSFdrQxSQSihim3hN,Mariah Carey,Christmas (Baby Please Come Home),55,100,14,2425861,2021-12-09,US,Columbia
91,spotify:track:6s2wpWPFPAgKg2LXxi1Oee,Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",91,104,7,2417577,2021-12-09,US,NITRON concepts
92,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,24,71,12,2408230,2021-12-09,US,RBMG/Def Jam
93,spotify:track:34rzJNfTd5e9s3TICFMPD0,Vince Guaraldi Trio,O Tannenbaum,51,113,9,2406746,2021-12-09,US,Craft Recordings
94,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',5,79,25,2400555,2021-12-09,US,RCA Records Label
95,spotify:track:0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min,67,93,96,2394435,2021-12-09,US,Generation Now/Atlantic
96,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,31,90,33,2393008,2021-12-09,US,Surf Curse
97,spotify:track:3nOz1U41SZZ0N3fuUWr9nb,Emmy Meli,I AM WOMAN,97,117,3,2392427,2021-12-09,US,Disruptor Records/Arista Records
98,spotify:track:4dZTNKRngStyYNueXCO2FR,Polo G,Young N Dumb,98,-1,1,2391264,2021-12-09,US,Columbia
99,spotify:track:1VuAamHM7P3VQQEXYGG3Uu,Nat King Cole,Joy To The World,50,112,15,2369075,2021-12-09,US,CAPITOL CATALOG MKT (C92)
100,spotify:track:2KnLkZ3z7PO3kgVGHGqDpD,Shawn Mendes,It'll Be Okay,100,-1,1,2326986,2021-12-09,US,Shawn Mendes LP4-5 PS/ Island
1,spotify:track:5Kskr9LcNYa0tpt5f0ZEJx,"Lil Tjay, 6LACK",Calling My Phone,1,-1,1,10660899,2021-02-18,US,Columbia
2,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,1,1,6,9726007,2021-02-18,US,Olivia Rodrigo PS
3,spotify:track:3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,Love Story (Taylor’s Version),3,-1,1,7550597,2021-02-18,US,Taylor Swift
4,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,1,3,8,6663870,2021-02-18,US,Top Dawg Entertainment/RCA Records
5,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,2,2,12,6516110,2021-02-18,US,Republic Records
6,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,5,5,2,6095818,2021-02-18,US,Atlantic Records
7,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,3,6,6,5705355,2021-02-18,US,Kemosabe Records/RCA Records
8,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,4,64,5534956,2021-02-18,US,Republic Records
9,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,CJ,Whoopty,4,7,17,4655468,2021-02-18,US,CJ Music Group/T-Series
10,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),2,8,28,4169615,2021-02-18,US,Records/Columbia
11,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),9,9,20,3995426,2021-02-18,US,Warner Records
