date,rank,song,artist,last-week,peak-rank,weeks-on-board
10/30/21,69,Stressed,Young Thug With J. Cole & T-Shyne,,69,1
10/30/21,70,Whole Lotta Money,BIA Featuring Nicki Minaj,59,16,15
10/30/21,71,Too Easy,Gunna & Future,66,38,4
10/30/21,72,2055,Sleepy Hallow,58,51,14
10/30/21,73,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",51,51,2
10/30/21,74,Sand In My Boots,Morgan Wallen,72,32,14
10/30/21,75,Volvi,Aventura x Bad Bunny,67,22,12
10/30/21,76,'Til You Can't,Cody Johnson,94,76,2
10/30/21,77,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,69,69,3
10/30/21,78,Rich N***a Shit,Young Thug With Juice WRLD,,78,1
10/30/21,79,Yonaguni,Bad Bunny,76,10,20
10/30/21,80,One Mississippi,Kane Brown,78,73,4
10/30/21,81,Whiskey And Rain,Michael Ray,82,81,3
10/30/21,82,Thot Shit,Megan Thee Stallion,71,16,19
10/30/21,83,Tequila Little Time,Jon Pardi,86,83,2
10/30/21,84,Freedom Was A Highway,Jimmie Allen & Brad Paisley,88,84,2
10/30/21,85,Maybach,42 Dugg Featuring Future,85,68,4
10/30/21,86,Get Into It (Yuh),Doja Cat,79,68,11
10/30/21,87,No Friends In The Industry,Drake,74,11,7
10/30/21,88,For Tonight,Giveon,98,88,3
10/30/21,89,Praise God,Kanye West,99,20,4
10/30/21,90,Champagne Poetry,Drake,77,4,7
10/30/21,91,Let Somebody Go,Coldplay X Selena Gomez,,91,1
10/30/21,92,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,,92,1
10/30/21,93,You Time,Scotty McCreery,80,50,12
10/30/21,94,In The Bible,Drake Featuring Lil Durk & Giveon,83,7,7
10/30/21,95,Peepin Out The Window,Young Thug With Future & BSlime,,95,1
10/30/21,96,Who's In Your Head,Jonas Brothers,95,95,2
10/30/21,97,Woo Baby,Pop Smoke Featuring Chris Brown,92,64,3
10/30/21,98,Flocky Flocky,Don Toliver Featuring Travis Scott,53,53,2
10/30/21,99,Like A Lady,Lady A,90,90,2
10/30/21,100,Just About Over You,Priscilla Block,97,97,2
10/23/21,1,Industry Baby,Lil Nas X & Jack Harlow,2,1,12
10/23/21,2,Stay,The Kid LAROI & Justin Bieber,1,1,14
10/23/21,3,Fancy Like,Walker Hayes,3,3,17
10/23/21,4,Bad Habits,Ed Sheeran,5,2,16
10/23/21,5,Way 2 Sexy,Drake Featuring Future & Young Thug,4,1,6
10/23/21,6,Good 4 U,Olivia Rodrigo,6,1,22
10/23/21,7,Kiss Me More,Doja Cat Featuring SZA,7,3,27
10/23/21,8,Levitating,Dua Lipa,8,2,54
10/23/21,9,Essence,Wizkid Featuring Justin Bieber & Tems,10,9,15
10/23/21,10,Shivers,Ed Sheeran,11,10,5
10/23/21,11,Need To Know,Doja Cat,13,11,18
10/23/21,12,Heat Waves,Glass Animals,15,12,39
10/23/21,13,Save Your Tears,The Weeknd & Ariana Grande,14,1,44
10/23/21,14,Knife Talk,Drake Featuring 21 Savage & Project Pat,9,4,6
10/23/21,15,Beggin',Maneskin,16,15,16
10/23/21,16,You Right,Doja Cat & The Weeknd,18,11,16
10/23/21,17,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",,17,1
10/23/21,18,My Universe,Coldplay x BTS,12,1,3
10/23/21,19,If I Didn't Love You,Jason Aldean & Carrie Underwood,19,15,12
10/23/21,20,Montero (Call Me By Your Name),Lil Nas X,17,1,29
10/23/21,21,Traitor,Olivia Rodrigo,21,9,21
10/23/21,22,Girls Want Girls,Drake Featuring Lil Baby,20,2,6
10/23/21,23,Chasing After You,Ryan Hurd With Maren Morris,24,23,24
10/23/21,24,Take My Breath,The Weeknd,22,6,10
10/23/21,25,Cold Heart (PNAU Remix),Elton John & Dua Lipa,32,25,6
10/23/21,26,Thats What I Want,Lil Nas X,26,10,4
10/23/21,27,Pepas,Farruko,25,25,12
10/23/21,28,My Boy,Elvie Shane,42,28,16
10/23/21,29,Wockesha,Moneybagg Yo,27,20,25
10/23/21,30,Happier Than Ever,Billie Eilish,29,11,11
10/23/21,31,Love Nwantiti (Ah Ah Ah),CKay,35,31,4
10/23/21,32,Ghost,Justin Bieber,93,32,3
10/23/21,33,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,28,26,15
10/23/21,34,A-O-K,Tai Verdes,34,34,15
10/23/21,35,Memory I Don't Mess With,Lee Brice,33,33,12
10/23/21,36,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,23,22,7
10/23/21,37,I Was On A Boat That Day,Old Dominion,45,37,15
10/23/21,38,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),37,1,32
10/23/21,39,Fair Trade,Drake Featuring Travis Scott,30,3,6
10/23/21,40,Buy Dirt,Jordan Davis Featuring Luke Bryan,43,40,10
10/23/21,41,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,39,1,30
10/23/21,42,Deja Vu,Olivia Rodrigo,31,3,28
10/23/21,43,You Should Probably Leave,Chris Stapleton,51,43,15
10/23/21,44,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,47,44,5
10/23/21,45,Cold As You,Luke Combs,53,45,11
10/23/21,46,Gyalis,Capella Grey,38,38,11
10/23/21,47,Love Again,Dua Lipa,41,41,13
10/23/21,48,Leave Before You Love Me,Marshmello X Jonas Brothers,40,19,21
10/23/21,49,Family Ties,Baby Keem & Kendrick Lamar,46,18,7
10/23/21,50,Hurricane,Kanye West,44,6,7
10/23/21,51,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",,51,1
10/23/21,52,Wild Side,Normani Featuring Cardi B,48,14,13
10/23/21,53,Flocky Flocky,Don Toliver Featuring Travis Scott,,53,1
10/23/21,54,Have Mercy,Chloe,50,28,5
10/23/21,55,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,57,55,9
10/23/21,56,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56,56,11
10/23/21,57,Late At Night,Roddy Ricch,49,20,19
10/23/21,58,2055,Sleepy Hallow,63,51,13
10/23/21,59,Whole Lotta Money,BIA Featuring Nicki Minaj,52,16,14
10/23/21,60,Memory,Kane Brown X blackbear,68,50,14
10/23/21,61,Esta Danada,Ivan Cornejo,96,61,2
10/23/21,62,Knowing You,Kenny Chesney,67,62,9
10/23/21,63,Woman,Doja Cat,62,62,11
10/23/21,64,Same Boat,Zac Brown Band,77,64,4
10/23/21,65,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,80,65,3
10/23/21,66,Too Easy,Gunna & Future,59,38,3
10/23/21,67,Volvi,Aventura x Bad Bunny,73,22,11
10/23/21,68,Easy On Me,Adele,,68,1
10/23/21,69,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,75,69,2
10/23/21,70,Todo de Ti,Rauw Alejandro,74,32,20
10/23/21,71,Thot Shit,Megan Thee Stallion,70,16,18
10/23/21,72,Sand In My Boots,Morgan Wallen,94,32,13
10/23/21,73,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,71,24,20
10/23/21,74,No Friends In The Industry,Drake,64,11,6
10/23/21,75,WFM,Realestk,,75,1
10/23/21,76,Yonaguni,Bad Bunny,82,10,19
10/23/21,77,Champagne Poetry,Drake,65,4,6
10/23/21,78,One Mississippi,Kane Brown,92,73,3
10/23/21,79,Get Into It (Yuh),Doja Cat,85,68,10
10/23/21,80,You Time,Scotty McCreery,54,50,11
10/23/21,81,Your Heart,Joyner Lucas & J. Cole,61,32,3
10/23/21,82,Whiskey And Rain,Michael Ray,97,82,2
10/23/21,83,In The Bible,Drake Featuring Lil Durk & Giveon,79,7,6
10/23/21,84,Summer Of Love,Shawn Mendes & Tainy,84,48,8
10/23/21,85,Maybach,42 Dugg Featuring Future,,68,3
10/23/21,86,Tequila Little Time,Jon Pardi,,86,1
10/23/21,87,Waves,Luke Bryan,87,24,17
10/23/21,88,Freedom Was A Highway,Jimmie Allen & Brad Paisley,,88,1
10/23/21,89,Nevada,YoungBoy Never Broke Again,86,58,3
10/23/21,90,Like A Lady,Lady A,,90,1
10/23/21,91,Life Goes On,Oliver Tree,,91,1
10/23/21,92,Woo Baby,Pop Smoke Featuring Chris Brown,,64,2
10/23/21,93,Life Support,YoungBoy Never Broke Again,88,48,5
10/23/21,94,'Til You Can't,Cody Johnson,,94,1
10/23/21,95,Who's In Your Head,Jonas Brothers,,95,1
10/23/21,96,Ain't Shit,Doja Cat,,24,13
10/23/21,97,Just About Over You,Priscilla Block,,97,1
10/23/21,98,For Tonight,Giveon,,91,2
10/23/21,99,Praise God,Kanye West,,20,3
10/23/21,100,Bad Morning,YoungBoy Never Broke Again,81,28,3
10/16/21,1,Stay,The Kid LAROI & Justin Bieber,2,1,13
10/16/21,2,Industry Baby,Lil Nas X & Jack Harlow,3,2,11
10/16/21,3,Fancy Like,Walker Hayes,5,3,16
10/16/21,4,Way 2 Sexy,Drake Featuring Future & Young Thug,4,1,5
10/16/21,5,Bad Habits,Ed Sheeran,6,2,15
10/16/21,6,Good 4 U,Olivia Rodrigo,7,1,21
10/16/21,7,Kiss Me More,Doja Cat Featuring SZA,8,3,26
10/16/21,8,Levitating,Dua Lipa,10,2,53
10/16/21,9,Knife Talk,Drake Featuring 21 Savage & Project Pat,9,4,5
10/16/21,10,Essence,Wizkid Featuring Justin Bieber & Tems,11,10,14
10/16/21,11,Shivers,Ed Sheeran,14,11,4
10/16/21,12,My Universe,Coldplay x BTS,1,1,2
10/16/21,13,Need To Know,Doja Cat,16,13,17
10/16/21,14,Save Your Tears,The Weeknd & Ariana Grande,12,1,43
10/16/21,15,Heat Waves,Glass Animals,15,15,38
10/16/21,16,Beggin',Maneskin,19,16,15
10/16/21,17,Montero (Call Me By Your Name),Lil Nas X,13,1,28
