title; rank; date; artist; chart
ONLY;16;04/10/2021;LeeHi;viral50
STEREOTYPE;17;04/10/2021;STAYC;viral50
breadwinner;18;04/10/2021;Kacey Musgraves;viral50
Cold Heart - PNAU Remix;19;04/10/2021;Elton John, Dua Lipa;viral50
Monster Mash;20;04/10/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
LALISA;21;04/10/2021;LISA;viral50
Linda;22;04/10/2021;Tokischa, ROSALÍA;viral50
In My Room;23;04/10/2021;Insane Clown Posse;viral50
Pepas;24;04/10/2021;Farruko;viral50
Gët Busy;25;04/10/2021;Yeat;viral50
Shivers;26;04/10/2021;Ed Sheeran;viral50
PING PONG;27;04/10/2021;HyunA&DAWN;viral50
Chop Chop Slide;28;04/10/2021;Insane Clown Posse;viral50
I GUESS I'M IN LOVE;29;04/10/2021;Clinton Kane;viral50
Nostálgico;30;04/10/2021;Rvssian, Rauw Alejandro, Chris Brown;viral50
From Tha Back;31;04/10/2021;lil.eaarl, Huncho Da Rockstar;viral50
Something About You;32;04/10/2021;Eyedress, Dent May;viral50
This Is Halloween;33;04/10/2021;Disney Characters;viral50
Light My Love;34;04/10/2021;Greta Van Fleet;viral50
HOT DEMON B!TCHES NEAR U ! ! !;35;04/10/2021;CORPSE, Night Lovell;viral50
love nwantiti (feat. ElGrande Toto) - North African Remix;36;04/10/2021;CKay, ElGrandeToto;viral50
edamame (feat. Rich Brian);37;04/10/2021;bbno$;viral50
Lay It Down;38;04/10/2021;benu;viral50
STREETSX VACATION BIBLE SCHOOL;39;04/10/2021;XXKATUSJINSUX;viral50
Somebody's Watching Me;40;04/10/2021;Rockwell;viral50
this is how i learn to say no;41;04/10/2021;EMELINE;viral50
range brothers (with Kendrick Lamar);42;04/10/2021;Baby Keem;viral50
family ties (with Kendrick Lamar);43;04/10/2021;Baby Keem;viral50
Close Eyes;44;04/10/2021;DVRST;viral50
Way 2 Sexy (with Future & Young Thug);45;04/10/2021;Drake;viral50
Feel Like God !*;46;04/10/2021;VVS;viral50
Pressure;47;04/10/2021;Ari Lennox;viral50
Sharing Locations (feat. Lil Baby & Lil Durk);48;04/10/2021;Meek Mill;viral50
Drunk And Nasty (feat. Sharc);49;04/10/2021;Pi’erre Bourne;viral50
Spooky Scary Skeletons - Undead Tombstone Remix;50;04/10/2021;Andrew Gold;viral50
The Red Means I Love You;1;05/10/2021;Madds Buckley;viral50
love nwantiti (ah ah ah);2;05/10/2021;CKay;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;3;05/10/2021;CKay;viral50
Está Dañada;4;05/10/2021;Ivan Cornejo;viral50
this is what falling in love feels like;5;05/10/2021;JVKE;viral50
Do It To It;6;05/10/2021;ACRAZE, Cherish;viral50
MONEY;7;05/10/2021;LISA;viral50
Have Mercy;8;05/10/2021;Chlöe;viral50
Two Moons;9;05/10/2021;BoyWithUke;viral50
In My Mind;10;05/10/2021;Lyn Lapid;viral50
Meet Me At Our Spot;11;05/10/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Silk Chiffon (feat. Phoebe Bridgers);12;05/10/2021;MUNA;viral50
Jugaste y Sufrí;13;05/10/2021;Eslabon Armado, DannyLux;viral50
Life Goes On;14;05/10/2021;Oliver Tree;viral50
Bad Day;15;05/10/2021;Justus Bennetts;viral50
ONLY;16;05/10/2021;LeeHi;viral50
STEREOTYPE;17;05/10/2021;STAYC;viral50
Monster Mash;18;05/10/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
breadwinner;19;05/10/2021;Kacey Musgraves;viral50
Cold Heart - PNAU Remix;20;05/10/2021;Elton John, Dua Lipa;viral50
Linda;21;05/10/2021;Tokischa, ROSALÍA;viral50
LALISA;22;05/10/2021;LISA;viral50
Lay It Down;23;05/10/2021;benu;viral50
Chop Chop Slide;24;05/10/2021;Insane Clown Posse;viral50
Gët Busy;25;05/10/2021;Yeat;viral50
In My Room;26;05/10/2021;Insane Clown Posse;viral50
Pepas;27;05/10/2021;Farruko;viral50
This Is Halloween;28;05/10/2021;Disney Characters;viral50
Shivers;29;05/10/2021;Ed Sheeran;viral50
PING PONG;30;05/10/2021;HyunA&DAWN;viral50
I GUESS I'M IN LOVE;31;05/10/2021;Clinton Kane;viral50
Something About You;32;05/10/2021;Eyedress, Dent May;viral50
Nostálgico;33;05/10/2021;Rvssian, Rauw Alejandro, Chris Brown;viral50
From Tha Back;34;05/10/2021;lil.eaarl, Huncho Da Rockstar;viral50
Light My Love;35;05/10/2021;Greta Van Fleet;viral50
HOT DEMON B!TCHES NEAR U ! ! !;36;05/10/2021;CORPSE, Night Lovell;viral50
this is how i learn to say no;37;05/10/2021;EMELINE;viral50
Somebody's Watching Me;38;05/10/2021;Rockwell;viral50
Close Eyes;39;05/10/2021;DVRST;viral50
edamame (feat. Rich Brian);40;05/10/2021;bbno$;viral50
love nwantiti (feat. ElGrande Toto) - North African Remix;41;05/10/2021;CKay, ElGrandeToto;viral50
STREETSX VACATION BIBLE SCHOOL;42;05/10/2021;XXKATUSJINSUX;viral50
Sharing Locations (feat. Lil Baby & Lil Durk);43;05/10/2021;Meek Mill;viral50
family ties (with Kendrick Lamar);44;05/10/2021;Baby Keem;viral50
Spooky Scary Skeletons - Undead Tombstone Remix;45;05/10/2021;Andrew Gold;viral50
range brothers (with Kendrick Lamar);46;05/10/2021;Baby Keem;viral50
Feel Like God;47;05/10/2021;gazzzy, framed;viral50
Way 2 Sexy (with Future & Young Thug);48;05/10/2021;Drake;viral50
Fancy Like;49;05/10/2021;Walker Hayes;viral50
we fell in love in october;50;05/10/2021;girl in red;viral50
